cluster_nr,glass_color,fill_percentage,fuellrate_percentage_per_day,fuellrate
0,braun,0.8244897959183674,0.027214254638073497,1.389060913818335
0,gruen,0.7754611066559743,0.0454987581612966,2.364039642797369
0,weiss,0.7734855136084284,0.042562985215258115,2.0199683400074577
1,braun,0.8946938775510204,0.04369369690393364,2.230199112804946
1,gruen,0.7144212523719166,0.05566064866479221,2.792309208017076
1,weiss,0.7237623762376237,0.0860341249025003,3.6206027563135543
2,braun,0.9078380706287683,0.030538324197804115,1.4772914330687743
2,gruen,0.8273703041144902,0.11018837686375954,5.132941888903465
2,weiss,0.8076923076923077,0.05201173400720291,2.422879942502202
3,braun,0.8723584108199494,0.033301077542186086,1.6414656138502557
3,gruen,0.7931034482758621,0.05307595391060608,2.7577381052719074
3,weiss,0.7504472271914132,0.03308767517114074,1.541334201722306
4,braun,0.8908629441624365,0.03966608410306594,1.9535546420759977
4,weiss,0.6309403437815976,0.07871760513951552,3.2438213117908687
5,gruen,1.0595348837209302,0.13526552617626633,6.058768359978596
5,weiss,0.9607664233576643,0.13599194995372815,6.210299047886919
6,braun,0.8675438596491228,0.027747297584169158,1.317996635248035
6,gruen,0.74645987862441,0.04109297004921303,2.5392031076242887
6,weiss,0.8076923076923077,0.044426900074392955,2.0695530951321386
7,braun,0.8847530422333572,0.03249948268977307,1.8917407215672073
7,gruen,0.6428571428571429,0.07348060503518926,3.6862770192653276
7,weiss,0.5693664795509222,0.06560007108825033,3.4084703602936743
8,braun,1.0,0.018302725309767103,0.6886400397799872
8,gruen,0.9878183831672204,0.04424644554459985,1.6647725136155693
8,weiss,0.8049886621315193,0.037157856203776596,1.3655512154887899
9,braun,0.8181818181818182,0.04256522977502946,2.516669210448617
9,gruen,0.8958333333333334,0.06146931031327768,3.688158618796661
9,weiss,0.8146179401993355,0.04618567973788912,2.8962270002301302
10,braun,0.946843853820598,0.04688829930702331,2.3522296819023363
10,gruen,0.8114035087719298,0.09686383360578012,4.6010320962745554
11,braun,0.9045827633378933,0.056134177710279023,3.4195069921844974
11,gruen,0.8148148148148148,0.09736875182455484,4.710213369512841
11,weiss,0.8724035608308606,0.10733306043132354,4.521405170669504
12,braun,0.9560161779575329,0.014881683724058943,0.6132493834622623
12,gruen,1.0,0.04430720883318499,2.104592419576287
13,braun,0.6616654163540885,0.06969994359567028,3.8712510338761867
13,gruen,0.9333333333333333,0.08354599704583009,4.5880850308267345
13,weiss,0.7628053585500394,0.13222982274179998,7.40647731862733
14,braun,0.7931034482758621,0.029984965448012914,1.5579688297363377
14,gruen,0.8107457898957497,0.06995070915678624,3.6345222632713514
14,weiss,0.6602990033222591,0.07027927220833324,3.4822960716142344
15,braun,0.8221797323135756,0.03273519471024733,2.1400633541824194
15,gruen,0.875,0.05694823384879198,3.265032073997407
15,weiss,0.8,0.04378167034486473,1.961053984197066
16,gruen,0.7723749119097957,0.07213565733093312,4.265020739691421
16,weiss,0.8199847444698704,0.09431616074910568,5.152020280919897
17,gruen,0.7857142857142857,0.04911000385539753,2.463685193412443
18,weiss,0.6542688081149619,0.07767430371280368,3.828695887176948
